lat,lng,count
51,4,1
34,-87,1
41,-74,2
56,10,3
24,90,13
29,-82,1
42,-91,9
47,-2,1
49,1,1
43,-2,142
44,5,1
33,-97,2
48,12,1
49,0,7
-36,-62,4
-38,145,4
28,-17,5
-6,107,209
51,5,2
-18,-53,1
56,47,10
37,127,4
56,16,6
51,0,3
39,-90,23
28,-82,1
50,30,1
49,9,3
50,10,1
44,1,3
21,-90,15
47,16,12
42,-71,11
47,9,2
52,0,1
52,21,1
-23,-47,1
52,-2,2
43,-81,1
10,76,1
50,8,10
13,80,2
50,4,1
15,-91,27
45,-72,5
48,12,3
37,117,7
42,-70,10
52,-8,20
59,14,1
17,-90,1
41,28,5
53,-2,4
43,-84,3
40,-105,1
-2,-80,25
48,16,1
47,40,42
29,-82,3
49,2,5
41,-75,1
51,7,6
-33,-71,1
36,-80,3
48,12,17
43,-71,5
25,55,156
-23,-42,9
37,10,3
39,-90,9
43,28,37
44,-79,4
52,7,8
-34,151,1
-26,-49,1
53,1,18
49,2,13
52,6,3
22,-98,4
48,26,1
51,6,1
44,5,1
46,8,1
43,5,1
37,-6,1
42,-71,1
49,2,5
28,76,1
33,-97,2
49,2,18
-24,-50,1
63,28,20
11,124,3
45,-93,1
52,4,2
52,4,2
60,11,1
43,2,2
49,7,5
-27,-51,1
51,7,13
38,127,51
-23,-43,14
14,121,7
36,-1,4
55,-2,1
48,17,8
38,24,1
42,-2,1
55,-1,1
48,21,6
52,5,1826
16,80,2
52,12,19
51,4,14
41,20,1
52,7,4
42,-73,5
52,9,40
50,18,14
51,9,2
5,-76,2
4,102,1
39,-9,20
47,-120,5732
-23,-45,2
-22,-47,2
51,3,1948
50,9,2
51,4,1
10,106,3
42,2,1
42,2,1
52,5,2
46,10,1
46,12,7
42,42,142
43,6,1
40,-8,1
43,-71,6
44,6,1
49,17,7
63,11,1
51,7,3
36,-115,1
44,5,1
48,15,1
55,25,2
50,7,1
-1,35,1
45,10,1
52,1,2
50,18,2
37,-122,64
53,7,1
-18,-70,2
40,-84,12
48,-122,1
-30,-50,4
50,18,1
43,6,26
48,12,4
-6,107,11
36,-81,2
45,9,1
22,114,2
40,-112,2
55,8,391
36,-97,32
29,-14,5
52,5,2
6,-55,5
48,11,1
14,100,1
60,25,1054
17,103,2
52,7,1
8,100,1
52,21,8
54,10,6
40,0,1
52,5,9
4,-75,4
12,76,1
35,-85,37
48,12,1
38,-122,5
40,-75,1
15,121,8
11,79,1
-29,-51,12
-23,-43,10
51,3,1
32,35,4
17,79,6
-23,-43,3
33,-97,3
52,8,2
51,15,13
3,102,28
49,2,13
-10,-63,4
49,17,44
45,7,1
51,7,233
19,-97,1
40,50,1
46,23,8
45,11,2
41,-96,35
41,-74,44
48,9,19
42,-88,14731
55,56,1
42,27,1
28,-16,4
44,5,3
11,77,10
50,12,855
22,114,2
41,2,51
46,5,1
49,-3,5
53,45,3
52,-1,2
42,-88,25
48,14,1
47,9,10
49,10,1
-16,-48,8
51,-114,10
23,-82,3
35,135,2
34,-7,69
50,4,1
31,-96,8
34,-119,6
-34,18,283
36,6,2
-9,115,1
-5,-43,2
40,-105,1
42,-9,1
51,12,7
-23,-47,2
-23,-47,1
-15,-41,2
13,101,2
48,8,5
49,16,1
47,9,1
56,13,311
49,8,2
19,-99,206
64,20,9
39,0,2
49,11,1
36,108,1
53,8,3
10,-84,1
49,2,13
27,76,46
16,80,12
50,17,7
-22,-45,8
42,3,10
53,-7,4
26,-100,2
52,8,27
45,-1,3
37,-6,6
-2,-80,1
62,27,1
60,30,92
24,72,3
49,-123,89
49,11,1
50,4,1
22,114,1
53,7,12
48,-122,18
49,10,2
44,7,13
49,8,15
66,22,109
39,-95,1
49,14,2
51,6,1
42,-7,3
-26,28,4
36,140,17
36,5,9
36,-96,53
48,16,1
51,5,27
1,104,24
45,12,1
49,7,2
-24,-46,3
41,-81,3
26,77,1
56,93,1
59,18,4
52,6,5
49,2,4
33,-117,145
52,12,1
45,-93,6
48,-122,1
36,5,5
34,-119,12
24,121,7
-26,29,21
59,18,1
44,10,3
46,-123,1
52,6,1
47,17,2
53,-6,1
41,29,5
51,7,26
46,10,5
59,25,34
-34,-59,4
29,77,19
41,-9,1
0,-51,4
39,-9,3
51,5,2
58,8,3
-26,-49,4
-16,-68,40
49,13,13
47,24,209
48,7,4
51,12,8
59,14,1
48,6,8
48,-53,1
48,9,1
-21,-44,5
41,17,1
43,-4,1
31,77,1
-7,107,3
45,6,1
31,77,18
62,16,2
21,-90,1
51,7,1
49,12,5
35,139,1
35,136,167
0,33,8
44,4,5
47,7,2
45,-69,13
39,-9,78
19,74,1
48,11,1
33,-97,3
43,0,1
47,7,1
46,10,5
11,76,1
34,-120,4
36,-79,1
-26,28,9
48,35,6
38,127,28
52,10,8
46,6,111
39,-4,1
60,34,21
51,10,1
37,-76,8
21,106,3
45,8,1
56,49,32
51,0,3
37,3,14
50,8,3
51,9,4
52,4,93
27,78,1
41,36,4
51,3,4
38,-122,16
52,12,1
43,6,3
48,135,1
57,66,2
41,-9,3
62,26,20
51,21,1
41,69,222
52,8,1
52,0,11
49,8,9
-22,-44,1
49,9,10
18,78,2
43,3,3
28,-17,2
34,-84,1
41,-99,3
19,-97,1
50,9,5
17,78,2
52,9,10
9,39,2
60,25,1
48,-117,5
48,12,3
49,2,2
41,-4,23
53,5,31
13,80,19
52,6,1
55,25,91
60,14,1
38,24,4
52,21,4
54,12,1
38,46,2
44,-76,3
30,-98,1
5,-76,20
45,0,1
49,12,1
-23,-42,1
-29,-67,1
30,-96,5
52,-1,1
43,-3,4
49,8,35
52,4,4
49,2,4
34,-118,1
37,10,2
22,114,5
-35,-56,108
48,14,32
13,78,1
42,-74,2
38,-122,7
49,2,6
48,-122,1
51,4,50
56,12,1
47,8,8
49,2,4
34,109,46
36,139,17
39,27,2
37,-6,1
40,-105,29
33,-97,12
27,81,10
52,13,7
36,-115,144
51,6,2
41,-78,1
44,7,1
-35,149,12
42,-71,1
36,-87,4
29,-96,1
-7,-36,11
10,76,2
52,46,13
48,-122,240
33,35,2
36,11,2
49,17,15
52,6,1
49,13,1
52,-3,1
-23,-47,2
38,-122,2
43,3,10
-24,-46,8
46,13,1
54,9,1
49,2,157
50,17,7
51,6,2
53,-1,9
-24,-46,2
